Geography,2024,Latitude,Longitude
"Holyrood (T), Newfoundland and Labrador","2,913",47.45586609933741,-53.09428699745311
"Logy Bay-Middle Cove-Outer Cove (T), Newfoundland and Labrador","2,629",47.66588359772444,-52.66902462406807
"Division No.  9, Subd. C (SNO), Newfoundland and Labrador","2,169",51.22099849349239,-56.36904902341021
"Burin (T), Newfoundland and Labrador","2,274",47.0761619366767,-55.1407605796536
"St. Anthony (T), Newfoundland and Labrador","2,131",51.38462710121464,-55.58512147918833
"Grand Bank (T), Newfoundland and Labrador","2,089",47.09983009817678,-55.714222497568514
"Fogo Island (T), Newfoundland and Labrador","2,067",49.59266337629945,-54.00598219946744
"Twillingate (T), Newfoundland and Labrador","2,119",49.67354418859238,-54.712917489096014
"Pouch Cove (T), Newfoundland and Labrador","2,202",47.80960860167674,-52.785426810640594
"New-Wes-Valley (T), Newfoundland and Labrador","2,064",49.234143000181014,-53.481463495787196
"Wabush (T), Newfoundland and Labrador","2,090",52.932280906532625,-66.85705578779655
"Glovertown (T), Newfoundland and Labrador","2,069",48.73690059115275,-53.990610986889266
"Division No.  7, Subd. M (SNO), Newfoundland and Labrador","1,919",48.00007727337654,-53.401654948162665
"Kippens (T), Newfoundland and Labrador","1,875",48.578001272470786,-58.61258256395812
"Gambo (T), Newfoundland and Labrador","1,883",48.83010899500114,-54.0851130043072
"Wabana (T), Newfoundland and Labrador","1,983",47.655077295472424,-52.91488349249406
"Division No.  8, Subd. H (SNO), Newfoundland and Labrador","1,802",49.54014317954321,-54.632588345128404
"Flatrock (T), Newfoundland and Labrador","1,925",47.731642887801726,-52.71370929964566
"Division No.  4, Subd. E (SNO), Newfoundland and Labrador","1,741",48.610154130384466,-58.79562650904025
"Division No.  1, Subd. G (SNO), Newfoundland and Labrador","1,630",48.17515122725965,-52.78045533923341
"Victoria (T), Newfoundland and Labrador","1,815",47.77476870685528,-53.195968714001964
"Witless Bay (T), Newfoundland and Labrador","1,871",47.2617184309374,-52.74151914151647
"Trinity Bay North (T), Newfoundland and Labrador","1,673",48.47756570509024,-53.07207918913052
"Stephenville Crossing (T), Newfoundland and Labrador","1,707",48.55580379621804,-58.407317908269455
"Massey Drive (T), Newfoundland and Labrador","1,728",48.932438397771314,-57.878447842605986
"Bay Bulls (T), Newfoundland and Labrador","1,722",47.33037570525885,-52.73935818106234
"Division No.  4, Subd. A (SNO), Newfoundland and Labrador","1,617",48.07751504368631,-58.85892467725501
"Humber Arm South (T), Newfoundland and Labrador","1,559",49.05645239696178,-58.156744483471
"Harbour Breton (T), Newfoundland and Labrador","1,473",47.48558336015259,-55.801780529807054
"Sheshatshiu 3 (IRI), Newfoundland and Labrador","1,522",53.52014300470846,-60.139425780070454
"Clarke's Beach (T), Newfoundland and Labrador","1,535",47.55734851368798,-53.2545703353746
"Upper Island Cove (T), Newfoundland and Labrador","1,534",47.639491091516625,-53.185861108397525
"Division No.  1, Subd. U (SNO), Newfoundland and Labrador","1,505",47.22278634492408,-52.752879986301124
"Baie Verte (T), Newfoundland and Labrador","1,380",50.04277992920919,-56.15017123344774
"Fortune (T), Newfoundland and Labrador","1,240",47.08980927452228,-55.800081790435904
"Irishtown-Summerside (T), Newfoundland and Labrador","1,346",48.99614015967774,-57.89548237256213
"Division No.  1, Subd. Y (SNO), Newfoundland and Labrador","1,312",47.56567333228855,-53.39385973977179
"Nain (T), Newfoundland and Labrador","1,216",56.55276770271622,-61.6803582135953
"Division No.  7, Subd. L (SNO), Newfoundland and Labrador","1,205",48.25000138585514,-52.999999995341604
"St. Alban's (T), Newfoundland and Labrador","1,123",47.893388302970344,-55.839179777567196
"Burgeo (T), Newfoundland and Labrador","1,134",47.64989506466955,-57.54991047531769
"Division No.  7, Subd. K (SNO), Newfoundland and Labrador","1,193",48.11641840008994,-54.07749410314772
"Division No.  1, Subd. M (SNO), Newfoundland and Labrador","1,255",47.50967999371285,-53.24024820568545
"Division No.  4, Subd. B (SNO), Newfoundland and Labrador","1,178",48.21349610357806,-57.99752051573546
"St. George's (T), Newfoundland and Labrador","1,174",48.443988799466716,-58.44203960914365
"Centreville-Wareham-Trinity (T), Newfoundland and Labrador","1,124",49.03365949925744,-53.875404322471795
"St. Lawrence (T), Newfoundland and Labrador","1,077",46.933941189136135,-55.37622965870164
"Harbour Main-Chapel's Cove-Lakeview (T), Newfoundland and Labrador","1,166",47.460889203830575,-53.1492257772023
"Whitbourne (T), Newfoundland and Labrador","1,066",47.40287618991681,-53.533836149627774
"Samiajij Miawpukek (IRI), Newfoundland and Labrador","1,013",47.88290089598729,-55.66827859658569
"Petty Harbour-Maddox Cove (T), Newfoundland and Labrador",987,47.46996990269419,-52.689161182735155
"Musgrave Harbour (T), Newfoundland and Labrador",945,49.44740708622521,-53.94207379462502
"Rocky Harbour (T), Newfoundland and Labrador",947,49.599601581478964,-57.89565045595155
"Hare Bay (T), Newfoundland and Labrador",955,48.89333279785567,-54.00346599870818
"Arnold's Cove (T), Newfoundland and Labrador","1,003",47.76834967754568,-53.961811202462016
"Division No.  8, Subd. F (SNO), Newfoundland and Labrador",891,49.35949647547923,-55.03786054062108
"Roddickton-Bide Arm (T), Newfoundland and Labrador",889,50.88320412363267,-56.097591274156464
"Triton (T), Newfoundland and Labrador",899,49.53626330222121,-55.605514977913636
"Division No.  1, Subd. L (SNO), Newfoundland and Labrador",892,47.56040501662606,-53.29816746902709
"Natuashish 2 (IRI), Newfoundland and Labrador",863,55.947948109751934,-61.1013472976045
"Division No.  7, Subd. F (SNO), Newfoundland and Labrador",803,48.53921180212644,-53.41933419117203
"Division No.  1, Subd. O (SNO), Newfoundland and Labrador",908,47.49531628797004,-53.125873227832365
"LaScie (T), Newfoundland and Labrador",806,49.9852907314646,-55.56591628206703
"Cape St. George (T), Newfoundland and Labrador",789,48.47820030477526,-59.19900501119193
"Summerford (T), Newfoundland and Labrador",767,49.5095965841327,-54.74816949533312
"Division No.  4, Subd. D (SNO), Newfoundland and Labrador",826,48.87718659972379,-58.1860507964399
"Carmanville (T), Newfoundland and Labrador",786,49.416807355466155,-54.246767469738366
"Salmon Cove (T), Newfoundland and Labrador",765,47.77141409575672,-53.17536540343596
"Division No.  5, Subd. F (SNO), Newfoundland and Labrador",780,49.0951376135402,-57.38410090271754
"Glenwood (T), Newfoundland and Labrador",769,48.99188078832134,-54.868519607522366
"Division No. 10, Subd. D (SNO), Newfoundland and Labrador",739,54.610548446577866,-63.65415003355299
"Port au Choix (T), Newfoundland and Labrador",725,50.72925509813802,-57.26109491523458
"Peterview (T), Newfoundland and Labrador",753,49.126586697652115,-55.335643617010014
"Robert's Arm (T), Newfoundland and Labrador",709,49.506332619695165,-55.820154658763244
"Norris Arm (T), Newfoundland and Labrador",734,49.12238474393745,-55.19749242071751
"Mount Moriah (T), Newfoundland and Labrador",733,48.97195726718023,-58.04578622607746
"Brigus (T), Newfoundland and Labrador",766,47.51622303671027,-53.24503425047829
"Cupids (T), Newfoundland and Labrador",733,47.54480253994987,-53.21110054103472
"L'Anse au Loup (T), Newfoundland and Labrador",715,51.52563420259383,-56.81325406376023
"Badger (T), Newfoundland and Labrador",706,48.969977947492744,-56.044308741341155
"Embree (T), Newfoundland and Labrador",683,49.35219889639736,-55.028833906769194
"South River (T), Newfoundland and Labrador",740,47.56080408435287,-53.24627197131224
"Port Saunders (T), Newfoundland and Labrador",693,50.64098618400894,-57.228525759420975
"Milltown-Head of Bay d'Espoir (T), Newfoundland and Labrador",684,47.93518809717085,-55.698507924181754
"Cox's Cove (T), Newfoundland and Labrador",692,49.128992788787194,-58.0795049044842
"King's Point (T), Newfoundland and Labrador",653,49.6120542097713,-56.17517729434488
"Norman's Cove-Long Cove (T), Newfoundland and Labrador",699,47.600324692372226,-53.675453398484706
"Division No.  1, Subd. A (SNO), Newfoundland and Labrador",652,47.845420625349476,-53.62090753860346
"Heart's Delight-Islington (T), Newfoundland and Labrador",681,47.75008064986176,-53.623518889465004
"Conception Harbour (T), Newfoundland and Labrador",661,47.50832339887509,-53.16842151418862
"Appleton (T), Newfoundland and Labrador",643,48.98903392150173,-54.84671506628749
"Colliers (T), Newfoundland and Labrador",639,47.50856319070368,-53.169181903381954
"Old Perlican (T), Newfoundland and Labrador",650,48.08425052941344,-52.97568845521073
"Norris Point (T), Newfoundland and Labrador",619,49.53382601434568,-57.85822173800903
"Hopedale (T), Newfoundland and Labrador",595,55.44584036766103,-60.22051352384299
"St. Lunaire-Griquet (T), Newfoundland and Labrador",566,51.547816615052696,-55.4716591319441
"Division No.  6, Subd. D (SNO), Newfoundland and Labrador",627,49.07390358503948,-54.7021497426269
"Division No.  4, Subd. C (SNO), Newfoundland and Labrador",609,48.52778166378287,-57.393745038235245
"Buchans (T), Newfoundland and Labrador",587,48.83100695728366,-56.84898885115329
"Avondale (T), Newfoundland and Labrador",641,47.44512140821279,-53.190507707378224
"Lawn (T), Newfoundland and Labrador",557,46.938717464731496,-55.52651380521186
"Dover (T), Newfoundland and Labrador",601,48.89823569435792,-53.90088690610595
"North River (T), Newfoundland and Labrador",631,47.55599867315468,-53.28920730928473
"Point Leamington (T), Newfoundland and Labrador",578,49.358322949109855,-55.39334874476251
"Meadows (T), Newfoundland and Labrador",586,49.00183258410802,-58.04132997868481
"Division No.  3, Subd. H (SNO), Newfoundland and Labrador",546,47.86048503545462,-58.74288047393145
"Division No.  8, Subd. C (SNO), Newfoundland and Labrador",609,49.678134210075854,-55.6941242018346
"Musgravetown (T), Newfoundland and Labrador",581,48.43189167912165,-53.86554760584382
"North West River (T), Newfoundland and Labrador",600,53.539117310252145,-60.13546549148247
"Isle aux Morts (T), Newfoundland and Labrador",546,47.60458329696255,-58.932298809554815
"Reidville (T), Newfoundland and Labrador",619,49.26479790152224,-57.33258680986085
"St. Jacques-Coomb's Cove (T), Newfoundland and Labrador",513,47.487422502669176,-55.411316181157375
"Garnish (T), Newfoundland and Labrador",535,47.26514680259794,-55.333836270281395
"Lewin's Cove (T), Newfoundland and Labrador",558,47.08818998621723,-55.20940189192882
"Division No.  1, Subd. X (SNO), Newfoundland and Labrador",613,47.42431543101848,-53.39603902764803
"Port au Port East (T), Newfoundland and Labrador",563,48.59204530299211,-58.62833288801323
"Burnt Islands (T), Newfoundland and Labrador",524,47.62205269943164,-58.84189719263108
"Lumsden (T), Newfoundland and Labrador",555,49.32379720181084,-53.60992750821119
"Division No.  1, Subd. F (SNO), Newfoundland and Labrador",578,48.041582543250506,-53.080323726412324
"Division No.  2, Subd. C (SNO), Newfoundland and Labrador",491,47.96780035974241,-54.66696227012574
"Division No.  9, Subd. D (SNO), Newfoundland and Labrador",549,51.75001126873602,-55.24038865046849
"McIvers (T), Newfoundland and Labrador",536,49.0919294052705,-58.09775789682109
"Port Blandford (T), Newfoundland and Labrador",554,48.34543211482869,-54.129407503229636
"Birchy Bay (T), Newfoundland and Labrador",500,49.38796568082871,-54.681493921686915
"Trout River (T), Newfoundland and Labrador",502,49.49438356005769,-58.12304705145607
"Lark Harbour (T), Newfoundland and Labrador",503,49.10660029240048,-58.35673839123414
"Division No.  2, Subd. K (SNO), Newfoundland and Labrador",474,48.059967276195565,-54.09939666010724
"Lourdes (T), Newfoundland and Labrador",532,48.64115520187385,-58.982582604308064
"Cape Broyle (T), Newfoundland and Labrador",527,47.1147524743835,-52.91411224995928
"Cormack (T), Newfoundland and Labrador",515,49.234405562895994,-57.442003933892785
"Division No.  8, Subd. E (SNO), Newfoundland and Labrador",554,49.412224770733474,-55.146652296531634
"Englee (T), Newfoundland and Labrador",482,50.792338303119855,-56.010604792144285
"Division No.  1, Subd. W (SNO), Newfoundland and Labrador",541,47.239375402216176,-53.14222449985685
"Division No.  7, Subd. J (SNO), Newfoundland and Labrador",486,48.48309130899178,-53.225033889156265
"Eastport (T), Newfoundland and Labrador",477,48.68535369133846,-53.72258039198705
"Campbellton (T), Newfoundland and Labrador",453,49.275791033210865,-54.87558607306137
"Chapel Arm (T), Newfoundland and Labrador",485,47.52286179851312,-53.67194561200815
"Middle Arm (T), Newfoundland and Labrador",435,49.718588782336894,-56.04983486123364
"Terrenceville (T), Newfoundland and Labrador",434,47.66728070303674,-54.65726771689877
"Cartwright, Labrador (T), Newfoundland and Labrador",419,53.690500099064316,-57.01692105672462
"Winterton (T), Newfoundland and Labrador",423,47.940771115371206,-53.34010888203201
"Hampden (T), Newfoundland and Labrador",457,49.56850780675315,-56.850405986955536
"St. Bernard's-Jacques Fontaine (T), Newfoundland and Labrador",426,47.51179393130562,-54.84003357042708
"Gillams (T), Newfoundland and Labrador",437,49.024208186657496,-58.04222649083977
"Port au Port West-Aguathuna-Felix Cove (T), Newfoundland and Labrador",433,48.55640145467066,-58.72424979823095
"South Brook (T), Newfoundland and Labrador",421,49.45356349098844,-56.05566274979297
"Bauline (T), Newfoundland and Labrador",477,47.72769981159839,-52.80491186010216
"Steady Brook (T), Newfoundland and Labrador",434,48.97359459223299,-57.79470620106094
"Division No.  5, Subd. G (SNO), Newfoundland and Labrador",388,50.1159804128482,-56.43804840412559
"Division No.  8, Subd. G (SNO), Newfoundland and Labrador",423,49.66682615966165,-55.03898265710666
"Small Point-Adam's Cove-Blackhead-Broad Cove (T), Newfoundland and Labrador",389,47.825429204109255,-53.10304224505618
"Sunnyside (T), Newfoundland and Labrador",419,47.852104377413355,-53.8649042354696
"Hermitage-Sandyville (T), Newfoundland and Labrador",396,47.578211769119,-55.89312892850143
"Trepassey (T), Newfoundland and Labrador",441,46.7831147972239,-53.31600957470002
"Port Hope Simpson (T), Newfoundland and Labrador",397,52.52302477671021,-56.33686793153178
"Winterland (T), Newfoundland and Labrador",392,47.15404991525159,-55.238787466685764
"Cow Head (T), Newfoundland and Labrador",393,49.92971874662666,-57.72422110243719
"Division No.  8, Subd. A (SNO), Newfoundland and Labrador",387,49.98583522738189,-55.53362524318216
"Ramea (T), Newfoundland and Labrador",375,47.526625497322385,-57.37938058560571
"Forteau (T), Newfoundland and Labrador",374,51.498795006008145,-56.91895642912431
"Mount Carmel-Mitchells Brook-St. Catherine's (T), Newfoundland and Labrador",357,47.175629130403756,-53.3720854507114
"York Harbour (T), Newfoundland and Labrador",398,49.06455129305944,-58.239208218532035
"Ferryland (T), Newfoundland and Labrador",404,47.046079703762246,-52.89314281629039
"Northern Arm (T), Newfoundland and Labrador",384,49.16269620956561,-55.382214011679665
"Makkovik (T), Newfoundland and Labrador",364,55.0765198091499,-59.182079933854645
"Parson's Pond (T), Newfoundland and Labrador",389,50.01145850356542,-57.68938239654129
"Port Rexton (T), Newfoundland and Labrador",352,48.3973642275433,-53.30452413365366
"Division No.  1, Subd. B (SNO), Newfoundland and Labrador",375,47.3152874122847,-53.678975265377794
"Division No.  1, Subd. N (SNO), Newfoundland and Labrador",365,47.496353691075186,-53.208671111457946
"Division No.  6, Subd. C (SNO), Newfoundland and Labrador",366,49.21337938150806,-55.29644334128583
"Whiteway (T), Newfoundland and Labrador",385,47.67401359737223,-53.41319049124433
"Belleoram (T), Newfoundland and Labrador",327,47.52898304980485,-55.41858221550996
"Bay de Verde (T), Newfoundland and Labrador",355,48.11312459413845,-52.86009329159789
"Bryant's Cove (T), Newfoundland and Labrador",376,47.66537564572592,-53.203685047496755
"Comfort Cove-Newstead (T), Newfoundland and Labrador",379,49.41377828599108,-54.853542801284476
"Rose Blanche-Harbour le Cou (T), Newfoundland and Labrador",326,47.63464401046699,-58.680841990803195
"Division No.  1, Subd. H (SNO), Newfoundland and Labrador",410,47.74415371592867,-52.849426196156976
"Heart's Content (T), Newfoundland and Labrador",339,47.810322104504415,-53.36612778039722
"Rigolet (T), Newfoundland and Labrador",328,54.1699024753313,-58.454361137188435
"Hant's Harbour (T), Newfoundland and Labrador",305,48.01816004700848,-53.2388863596186
"Division No.  1, Subd. I (SNO), Newfoundland and Labrador",349,47.656799492639585,-53.2256736927583
"Mary's Harbour (T), Newfoundland and Labrador",297,52.32224319611241,-55.8167264031583
"Southern Harbour (T), Newfoundland and Labrador",342,47.727619018449076,-53.93833608652676
"Division No.  7, Subd. G (SNO), Newfoundland and Labrador",314,48.73754520708984,-53.012264815485686
"Elliston (T), Newfoundland and Labrador",342,48.6477493124503,-53.03092878688748
"St. Mary's (T), Newfoundland and Labrador",341,46.923609505901155,-53.46944831019474
"Burlington (T), Newfoundland and Labrador",306,49.74238619453585,-55.99199911587189
"Anchor Point (T), Newfoundland and Labrador",288,51.2332647789704,-56.77606182305885
"Hawke's Bay (T), Newfoundland and Labrador",293,50.63293505316675,-57.13090109477477
"Ming's Bight (T), Newfoundland and Labrador",304,49.98211680649449,-56.01975791095989
"Division No.  8, Subd. P (SNO), Newfoundland and Labrador",313,49.62601773019569,-56.03361518400798
"Leading Tickles (T), Newfoundland and Labrador",296,49.499535588575654,-55.368144189940956
"Charlottetown (Labrador) (T), Newfoundland and Labrador",285,52.79604199612891,-56.1296993886294
"Division No.  5, Subd. A (SNO), Newfoundland and Labrador",304,49.1965911989764,-56.656378392405344
"Pilley's Island (T), Newfoundland and Labrador",261,49.56115638852022,-55.687953191900284
"Division No.  5, Subd. C (SNO), Newfoundland and Labrador",298,48.85470636379617,-57.85206265083673
"Seal Cove (White Bay) (T), Newfoundland and Labrador",257,49.92307026323325,-56.348015748704
"Renews-Cappahayden (T), Newfoundland and Labrador",274,46.92777740570862,-52.90539347874199
"Jackson's Arm (T), Newfoundland and Labrador",260,49.86826441907723,-56.75541964507748
"Traytown (T), Newfoundland and Labrador",271,48.71034020406617,-53.94327101372291
"Division No.  8, Subd. O (SNO), Newfoundland and Labrador",271,50.000061459345865,-55.33305756205429
"Flower's Cove (T), Newfoundland and Labrador",283,51.3033884597202,-56.690812538803506
"St. Bride's (T), Newfoundland and Labrador",298,46.92754263915502,-54.15988208271457
"Division No.  1, Subd. R (SNO), Newfoundland and Labrador",287,47.64254260450133,-52.85792471192537
"Fermeuse (T), Newfoundland and Labrador",273,46.980589022041286,-52.94401720661261
"St. Vincent's-St. Stephen's-Peter's River (T), Newfoundland and Labrador",286,46.83028062564117,-53.549344999327
"Division No.  7, Subd. D (SNO), Newfoundland and Labrador",268,48.849215234523164,-53.543035648016165
"Greenspond (T), Newfoundland and Labrador",266,49.06236779101984,-53.577439865470375
"Fox Cove-Mortier (T), Newfoundland and Labrador",249,47.12280759692955,-55.08528281177644
"Point May (T), Newfoundland and Labrador",240,47.00874453264086,-55.92397743003259
"Division No.  2, Subd. E (SNO), Newfoundland and Labrador",215,46.84099167904975,-54.537605822838984
"Bishop's Cove (T), Newfoundland and Labrador",244,47.63315778506789,-53.21327884790871
"Baytona (T), Newfoundland and Labrador",259,49.31315241110804,-54.76245334338402
"Main Brook (T), Newfoundland and Labrador",243,51.16530498989129,-55.940097649784605
"Cottlesville (T), Newfoundland and Labrador",245,49.51568009610098,-54.85217388848172
"Woody Point, Bonne Bay (T), Newfoundland and Labrador",240,49.50640839626941,-57.91588561332844
"Glenburnie-Birchy Head-Shoal Brook (T), Newfoundland and Labrador",237,49.479474588669,-57.92439920001249
"Little Burnt Bay (T), Newfoundland and Labrador",239,49.36397351211473,-55.08376410683523
"Hughes Brook (T), Newfoundland and Labrador",248,49.00693019198939,-57.86436046219304
"Bay L'Argent (T), Newfoundland and Labrador",229,47.53949315655892,-54.86765496168284
"Long Harbour-Mount Arlington Heights (T), Newfoundland and Labrador",255,47.47132177484486,-53.73995308073134
"Parkers Cove (T), Newfoundland and Labrador",228,47.39625308972863,-54.84900260229049
"Rushoon (T), Newfoundland and Labrador",224,47.35715288638448,-54.90772306303912
"Fox Harbour (T), Newfoundland and Labrador",247,47.30648729149772,-53.853771412098304
"Branch (T), Newfoundland and Labrador",243,46.89671189953049,-53.89916369376754
"Daniel's Harbour (T), Newfoundland and Labrador",216,50.26150964778089,-57.55927723770842
"L'Anse-au-Clair (T), Newfoundland and Labrador",226,51.4178757020405,-57.00954201528417
"River of Ponds (T), Newfoundland and Labrador",215,50.55074708755717,-57.38963070432956
"Lamaline (T), Newfoundland and Labrador",213,46.86519049354048,-55.786714518507075
"Seal Cove (Fortune Bay) (T), Newfoundland and Labrador",208,47.46983453975083,-56.07626890440178
"Chance Cove (T), Newfoundland and Labrador",233,47.702184406192856,-53.837619007779644
"Division No. 10, Subd. B (SNO), Newfoundland and Labrador",218,53.189308179175846,-55.505246581113326
"Come By Chance (T), Newfoundland and Labrador",229,47.773996823904156,-54.00650674408905
"Fleur de Lys (T), Newfoundland and Labrador",208,50.15201869660595,-56.13971189114322
"Division No.  2, Subd. D (SNO), Newfoundland and Labrador",201,47.09288398133885,-55.14071831560459
"Sandringham (T), Newfoundland and Labrador",213,48.67968692524631,-53.80272275759563
"St. Pauls (T), Newfoundland and Labrador",200,49.86908289024022,-57.77051343498392
"New Perlican (T), Newfoundland and Labrador",218,47.92258850491006,-53.27076048080157
"Division No.  2, Subd. H (SNO), Newfoundland and Labrador",193,47.263122508745525,-55.3354244028355
"Woodstock (T), Newfoundland and Labrador",196,49.97744813777261,-55.848110907796176
"Gaskiers-Point La Haye (T), Newfoundland and Labrador",206,46.88641981263604,-53.55899550791793
"Division No.  3, Subd. D (SNO), Newfoundland and Labrador",183,48.25445380897736,-55.342250803782754
"Pool's Cove (T), Newfoundland and Labrador",183,47.692847882590705,-55.4372472557713
"Postville (T), Newfoundland and Labrador",189,54.89999890986188,-59.7693802330757
"Division No.  5, Subd. E (SNO), Newfoundland and Labrador",193,49.36025899362119,-57.42522221605674
"Westport (T), Newfoundland and Labrador",186,49.782580088385046,-56.59224760470093
"Heart's Desire (T), Newfoundland and Labrador",201,47.808064594706416,-53.38372284314655
"Change Islands (T), Newfoundland and Labrador",184,49.672780612512504,-54.38025400215574
"Division No.  9, Subd. A (SNO), Newfoundland and Labrador",181,49.84588682332747,-57.533562019882
"Happy Adventure (T), Newfoundland and Labrador",189,48.63837581866333,-53.74574503768033
"Trinity (Trinity Bay) (T), Newfoundland and Labrador",189,48.38595188516117,-53.374521000279486
"St. Lewis (T), Newfoundland and Labrador",186,52.36950417334732,-55.65401416055708
"Howley (T), Newfoundland and Labrador",184,49.154859285443074,-57.066169097746936
"Grand Le Pierre (T), Newfoundland and Labrador",173,47.6766881973545,-54.74367001400054
"Red Harbour (T), Newfoundland and Labrador",173,47.29033813331778,-54.96899469742739
"Division No.  6, Subd. E (SNO), Newfoundland and Labrador",182,48.966047510702126,-54.28993967259177
"Bird Cove (T), Newfoundland and Labrador",173,51.05668532400279,-56.91382949032562
"Goose Cove East (T), Newfoundland and Labrador",171,51.30238634514421,-55.639981295444066
"Indian Bay (T), Newfoundland and Labrador",179,49.03069139584668,-53.849112499603805
"Lushes Bight-Beaumont-Beaumont North (T), Newfoundland and Labrador",170,49.56553959201681,-55.74208004421587
"Division No.  8, Subd. I (SNO), Newfoundland and Labrador",164,49.66034280397763,-54.663772704201754
"Riverhead (T), Newfoundland and Labrador",180,47.05172279390608,-53.41363688569836
"Brighton (T), Newfoundland and Labrador",162,49.55232735912568,-55.62822431246406
"Frenchman's Cove (T), Newfoundland and Labrador",155,47.20819208293097,-55.380339227441425
"Lord's Cove (T), Newfoundland and Labrador",153,46.90252393854415,-55.603109398375075
"Crow Head (T), Newfoundland and Labrador",155,49.68601069325705,-54.78580919592602
"Division No.  9, Subd. H (SNO), Newfoundland and Labrador",153,50.42678682108616,-56.914994055372745
"Raleigh (T), Newfoundland and Labrador",148,51.58826599775589,-55.733959610901294
"Conche (T), Newfoundland and Labrador",146,50.90970458760036,-55.85550910737269
"Pacquet (T), Newfoundland and Labrador",145,49.981796004194265,-55.87419869824174
"Red Bay (T), Newfoundland and Labrador",146,51.72468846185879,-56.42090013317926
"Division No.  8, Subd. M (SNO), Newfoundland and Labrador",142,49.297081503680936,-53.543332103622916
"Division No.  7, Subd. A (SNO), Newfoundland and Labrador",144,49.16226064789352,-53.25419614744405
"Point of Bay (T), Newfoundland and Labrador",138,49.30200822989954,-55.249336226136734
"Baine Harbour (T), Newfoundland and Labrador",123,47.36270039277133,-54.88390350499329
"St. Brendan's (T), Newfoundland and Labrador",129,48.87151021114128,-53.63677680788767
"Division No.  2, Subd. I (SNO), Newfoundland and Labrador",120,47.61617046933895,-54.65371165186729
"Sandy Cove (T), Newfoundland and Labrador",124,48.65008299436614,-53.66124099809606
"Brent's Cove (T), Newfoundland and Labrador",119,49.93308413029333,-55.71319214676573
"Division No.  1, Subd. D (SNO), Newfoundland and Labrador",130,47.819777683174145,-52.769755381022534
"Cook's Harbour (T), Newfoundland and Labrador",117,51.61721569065113,-55.84500079298844
"English Harbour East (T), Newfoundland and Labrador",115,47.61751389188204,-54.88454919121137
"Division No.  3, Subd. F (SNO), Newfoundland and Labrador",112,48.20017198507669,-56.82313250873914
"Rencontre East (T), Newfoundland and Labrador",112,47.63443053585942,-55.22889645383464
